,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
157,23815,8,85.94,87.4,228.2,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,193.5,40.35,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
158,23816,9,95.2,96.81,267.9,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,220.0,50.75,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
159,23817,10,76.86,78.19,189.4,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,164.9,31.14,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
160,23903,6,73.65,74.94,470.0,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,249.0,83.9,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
161,23904,7,74.89,76.13,475.9,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,251.4,84.94,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
162,23905,8,74.65,75.9,481.4,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,253.2,85.94,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
163,23906,9,79.0,80.3,538.3,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,270.4,95.2,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
164,23907,10,72.48,73.72,424.7,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,235.3,76.86,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
165,23993,6,12.81,13.07,598.1,30.0,74.0,3.0,0.0,1,-1,998.77,121.72,128.1,73.65,32.3,61.0,2.0,0.0,1.0,-1.0,999.04,798.01,17
166,23994,7,11.43,11.69,607.0,30.0,74.0,3.0,0.0,1,-1,998.77,121.72,131.1,74.89,32.3,61.0,2.0,0.0,1.0,-1.0,999.04,798.01,17
167,23995,8,5.29,5.59,600.6,30.0,74.0,3.0,0.0,1,-1,998.77,121.72,119.2,74.65,32.3,61.0,2.0,0.0,1.0,-1.0,999.04,798.01,17
